t,e_norm,omega_norm,q0,q1,q2,q3,omega0,omega1,omega2,u0,u1,u2
3.7639999999996965,0.006244114891432846,0.008159573490278174,0.9999805053245902,-0.005964529506146488,0.0018276969043485784,-0.00026996772687856875,0.007559801622649229,0.0015177280560244777,-0.002669183492642759,0.008738514779287495,-0.01034624372944327,0.006418237892799793
3.7649999999996964,0.0062407811501146585,0.008166032770790326,0.9999805261357025,-0.005960749180605417,0.0018284441916088438,-0.00027131238031127174,0.007570725774432584,0.00150737374315591,-0.0026638368682049235,0.0087015451735565,-0.010328524252747195,0.006412923257654934
3.7659999999996963,0.006237441458392733,0.008172479969709625,0.9999805469728165,-0.005956963401067896,0.001829186320663506,-0.0002726543407165545,0.007581603705305109,0.0014970371543330016,-0.002658494662314641,0.008664646193661366,-0.010310819591320027,0.0064076066874955
3.766999999999696,0.006234095837804034,0.008178914935154531,0.9999805678357381,-0.005953172190628227,0.001829923300346265,-0.0002739936103381228,0.007592435503590153,0.001486718274822734,-0.0026531568765577533,0.008627817755332603,-0.010293129751030528,0.006402288194467998
3.767999999999696,0.006230744309850952,0.008185337517005302,0.9999805887242739,-0.005949375572336563,0.001830655139483516,-0.0002753301914204084,0.007603221257505617,0.0014764170898857686,-0.0026478235125103173,0.00859105977433502,-0.010275454737705601,0.006396967790702268
3.768999999999696,0.006227386896001326,0.008191747566888985,0.9999806096382308,-0.0059455735691989605,0.0018313818468943441,-0.00027666408620856473,0.007613961055163993,0.0014661335847764893,-0.002642494571738618,0.008554372166467856,-0.010257794557130355,0.006391645488311495
3.769999999999696,0.006224023617688436,0.008198144938164481,0.999980630577416,-0.005941766204177429,0.0018321034313905232,-0.00027799529694846203,0.007624654984572408,0.0014558677447430457,-0.0026371700557991803,0.008517754847564899,-0.010240149215048185,0.006386321299392208
3.7709999999996957,0.006220654496311022,0.00820452948590774,0.9999806515416374,-0.005937953500189986,0.0018328199017765105,-0.00027932382588668266,0.007635303133632667,0.0014456195550273964,-0.002631849966238782,0.00848120773349461,-0.010222518717160834,0.006380995236024294
3.7719999999996956,0.0062172795532332925,0.008210901066897026,0.999980672530703,-0.005934135480110712,0.0018335312668494449,-0.00028064967527051654,0.0076459055901412975,0.0014353890008653516,-0.0026265343045944666,0.008444730740160252,-0.010204903069128482,0.006375667310271
3.7729999999996955,0.006213898809784926,0.008217259539598318,0.9999806935444213,-0.005930312166769798,0.0018342375353991426,-0.00028197284734795636,0.007656462441789593,0.0014251760674866163,-0.0026212230723935536,0.008408323783500005,-0.010187302276569804,0.006370337534178932
3.7739999999996954,0.006210512287261093,0.008223604764150787,0.9999807145826013,-0.005926483582953603,0.0018349387162080943,-0.00028329334436769305,0.007666973776163655,0.0014149807401148328,-0.0026159162711536527,0.008371986779487101,-0.010169716345062044,0.0063650059197780775
3.7749999999996953,0.006207120006922453,0.00822993660235238,0.9999807356450522,-0.0059226497514047035,0.001835634818051462,-0.00028461116857911105,0.007677439680744439,0.0014048030039676244,-0.002610613902382676,0.008335719644129935,-0.010152145280141096,0.006359672479081796
3.775999999999695,0.0062037219899951715,0.008236254917645515,0.9999807567315838,-0.005918810694821948,0.0018363258496970755,-0.0002859263222322837,0.007687860242907799,0.0013946428442566368,-0.002605315967578848,0.008299522293472195,-0.010134589087301575,0.006354337224086831
3.776999999999695,0.006200318257670926,0.008242559575102863,0.9999807778420062,-0.005914966435860508,0.0018370118199054297,-0.0002872388075779686,0.00769823554992453,0.0013845002461875817,-0.0026000224682307224,0.008263394643592973,-0.010117047771996882,0.00634900016677332
3.777999999999695,0.006196908831106926,0.008248850441413245,0.9999807989761299,-0.005911116997131932,0.001837692737429681,-0.000288548626867603,0.007708565688960412,0.001374375194960279,-0.0025947334058171903,0.008227336610606904,-0.010099521339639282,0.0063436613191047925
3.778999999999695,0.006193493731425906,0.008255127384867621,0.9999808201337659,-0.005907262401204196,0.0018383686110156443,-0.00028985578235329906,0.007718850747076258,0.0013642676757686992,-0.0025894487818074936,0.008191348110664267,-0.010082009795599976,0.006338320693028183
3.7799999999996947,0.006190072979716153,0.008261390275345183,0.9999808413147254,-0.0059034026706017585,0.0018390394494017896,-0.0002911602762878394,0.007729090811227955,0.0013541776738010057,-0.002584168597661238,0.008155429059951124,-0.01006451314520917,0.006332978300473834
3.7809999999996946,0.006186646597031511,0.008267638984299542,0.9999808625188202,-0.005899537827805613,0.0018397052613192395,-0.0002924621109246723,0.007739285968266511,0.0013441051742395977,-0.002578892854828406,0.00811957937468943,-0.010047031393756154,0.006327634153355501
3.7819999999996945,0.006183214604391388,0.008273873384745032,0.9999808837458626,-0.005895667895253338,0.0018403660554917654,-0.00029376128851790723,0.007749436304938099,0.0013340501622611518,-0.0025736215547493674,0.008083798971137153,-0.010029564546489365,0.006322288263570364
3.7829999999996944,0.006179777022780769,0.008280093351243096,0.9999809049956647,-0.005891792895339148,0.0018410218406357847,-0.0002950578113223102,0.007759541907884105,0.0013240126230366644,-0.002568354698854892,0.008048087765588383,-0.010012112608616468,0.006316940642999025
3.7839999999996943,0.00617633387315024,0.008286298759888781,0.9999809262680401,-0.0058879128504139575,0.0018416726254603592,-0.00029635168159329936,0.007769602863641167,0.0013139925417314938,-0.0025630922885661635,0.008012445674373496,-0.009994675585304424,0.006311591303505525
3.784999999999694,0.006172885176415977,0.008292489488297333,0.9999809475628018,-0.005884027782785415,0.001842318418667189,-0.00029764290158693974,0.007779619258641228,0.0013039899035054024,-0.00255783432529479,0.007976872613859202,-0.009977253481679561,0.006306240256937339
3.785999999999694,0.006169430953459777,0.00829866541559089,0.9999809688797635,-0.005880137714717969,0.0018429592289506116,-0.0002989314735599395,0.007789591179211576,0.0012940046935125983,-0.002552580810442817,0.007941368500448725,-0.009959846302827643,0.006300887515125392
3.786999999999694,0.006165971225129063,0.008304826422385276,0.9999809902187395,-0.0058762426684329195,0.0018435950649975995,-0.0003002173997696447,0.007799518711574895,0.0012840368969017776,-0.00254733174540274,0.007905933250581889,-0.009942454053793954,0.006295533089884058
3.787999999999694,0.006162506012236891,0.008310972390776883,0.9999810115795446,-0.005872342666108462,0.0018442259354877553,-0.00030150068247403525,0.007809401941849303,0.0012740864988161657,-0.0025420871315575163,0.007870566780735241,-0.009925076739583353,0.006290176993011174
3.7889999999996937,0.006159035335561975,0.008317103204329674,0.9999810329619935,-0.005868437729879748,0.0018448518490933102,-0.00030278132393171984,0.007819240956048407,0.0012641534843935594,-0.002536846970280578,0.007835269007422176,-0.00990771436516036,0.006284819236288035
3.7899999999996936,0.006155559215848688,0.008323218748062262,0.9999810543659017,-0.005864527881838933,0.0018454728144791206,-0.00030405932640193177,0.007829035840081343,0.0012542378387663687,-0.002531611262935843,0.0078000398471930465,-0.00989036693544922,0.0062794598314794125
3.7909999999996935,0.006152077673807083,0.0083293189084351,0.999981075791085,-0.005860613144035232,0.0018460888403026652,-0.0003053346921445241,0.007838786679752826,0.0012443395470616578,-0.002526380010877729,0.007764879216635278,-0.009873034455333976,0.006274098790333554
3.7919999999996934,0.006148590730112895,0.008335403573337768,0.9999810972373596,-0.005856693538474969,0.0018466999352140425,-0.0003066074234199652,0.007848493560763194,0.001234458594401187,-0.0025211532154511642,0.007729787032373488,-0.009855716929658545,0.006268736124582189
3.7929999999996933,0.006145098405407572,0.008341472632076343,0.9999811187045423,-0.005852769087121629,0.0018473061078559674,-0.0003078775224893342,0.007858156568708457,0.0012245949659014542,-0.0025159308779916013,0.007694763211069603,-0.009838414363226779,0.006263371845940539
3.793999999999693,0.00614160072029827,0.008347525975360896,0.9999811401924501,-0.005848839811895914,0.0018479073668637687,-0.0003091449916143166,0.007867775789080341,0.001214748646673736,-0.0025107129998250283,0.007659807669422973,-0.009821126760802547,0.006258005966107323
